x, y
7.647704590818363, 0.06299212598425197
7.7075848303393215, 0.18110236220472442
7.735528942115768, 0.25984251968503935
7.779441117764471, 0.36220472440944884
7.819361277445109, 0.5196850393700787
7.87125748502994, 0.7480314960629921
7.92315369261477, 0.905511811023622
7.955089820359281, 1.0236220472440944
7.991017964071856, 1.1574803149606299
8.046906187624751, 1.2913385826771653
8.090818363273453, 1.4251968503937007
8.150698602794412, 1.5905511811023623
8.190618762475049, 1.7086614173228347
8.226546906187625, 1.811023622047244
8.250499001996008, 1.8818897637795275
8.266467065868264, 1.968503937007874
8.306387225548901, 2.078740157480315
8.318363273453095, 2.133858267716535
8.330339321357286, 2.188976377952756
8.358283433133732, 2.2755905511811023
8.374251497005988, 2.3464566929133857
8.414171656686626, 2.4330708661417324
8.45808383233533, 2.5354330708661417
8.517964071856287, 2.6456692913385824
8.565868263473053, 2.7007874015748032
8.625748502994012, 2.7401574803149606
8.693612774451097, 2.7244094488188977
8.741516966067865, 2.661417322834646
8.78942115768463, 2.5826771653543306
8.825349301397205, 2.5118110236220472
8.853293413173652, 2.456692913385827
8.877245508982035, 2.4015748031496065
8.897205588822356, 2.338582677165354
8.925149700598801, 2.2755905511811023
8.945109780439122, 2.2125984251968505
8.977045908183634, 2.1259842519685037
8.997005988023952, 2.0551181102362204
9.0249500998004, 2.0078740157480315
9.044910179640718, 1.9291338582677164
9.072854291417165, 1.858267716535433
9.104790419161677, 1.7559055118110236
9.164670658682635, 1.6299212598425197
9.192614770459082, 1.574803149606299
9.224550898203592, 1.5511811023622046
9.264471057884231, 1.5118110236220472
9.296407185628743, 1.4724409448818898
9.336327345309382, 1.4488188976377954
9.372255489021956, 1.4173228346456692
9.48003992015968, 1.3858267716535433
